Month,P5,P15,P50
0,2.5,2.8,3.2
1,3.3,3.6,4.2
2,4.1,4.5,5.1
3,4.7,5.1,5.8
4,5.2,5.6,6.4
5,5.6,6.1,6.9
6,6,6.4,7.3
7,6.3,6.7,7.6
8,6.5,7,7.9
9,6.8,7.3,8.2
10,7,7.5,8.5
11,7.2,7.7,8.7
12,7.3,7.9,8.9
13,7.5,8.1,9.2
14,7.7,8.3,9.4
15,7.9,8.5,9.6
16,8.1,8.7,9.8
17,8.2,8.8,10
18,8.4,9,10.2
19,8.6,9.2,10.4
20,8.7,9.4,10.6
21,8.9,9.6,10.9
22,9.1,9.8,11.1
23,9.2,9.9,11.3
24,9.4,10.1,11.5
25,9.6,10.3,11.7
26,9.8,10.5,11.9
27,9.9,10.7,12.1
28,10.1,10.8,12.3
29,10.2,11,12.5
30,10.4,11.2,12.7
31,10.5,11.3,12.9
32,10.7,11.5,13.1
33,10.8,11.7,13.3
34,11,11.8,13.5
35,11.1,12,13.7
36,11.3,12.1,13.9
37,11.4,12.3,14
38,11.6,12.5,14.2
39,11.7,12.6,14.4
40,11.8,12.8,14.6
41,12,12.9,14.8
42,12.1,13.1,15
43,12.2,13.2,15.2
44,12.4,13.4,15.3
45,12.5,13.5,15.5
46,12.6,13.7,15.7
47,12.8,13.8,15.9
48,12.9,14,16.1
49,13,14.1,16.3
50,13.2,14.3,16.4
51,13.3,14.4,16.6
52,13.4,14.5,16.8
53,13.5,14.7,17
54,13.7,14.8,17.2
55,13.8,15,17.3
56,13.9,15.1,17.5
57,14,15.3,17.7
58,14.2,15.4,17.9
59,14.3,15.5,18
60,14.4,15.7,18.2
