sample,PC1,PC2,PC3
Sample1,-31.4534045435624,-160.626661959301,10.2426003304401
Sample7,-9.32440754725288,-181.058717813969,13.7886983885638
Sample5,-22.8512750816893,-168.655168798508,9.9695636614561
Sample4,59.7935318197938,-147.887643997376,30.8070320720662
Sample3,74.7006255717812,-163.3207731976,29.6578288733601
Sample6,72.9336491138579,-156.208984003811,29.7628555084715
Sample2,504.314098335396,100.851235355056,-193.872808522173
Sample8,162.493425095799,18.1563057817875,66.2931572761216
Sample9,182.240261217124,-2.99548220961154,65.7061740178395
Sample12,-107.39369806468,49.9368487648856,-44.0158667513856
Sample10,-108.061696343933,49.1995114687763,-54.2785670417624
Sample13,-63.8010919391449,-19.6338437793651,-56.2152230170007
Sample14,-52.1183535275135,-16.1277543263348,-56.7048454794012
Sample11,-51.7274324479865,-12.8055895076873,-57.452090999403
